0,1,2
Code,Description1,Description2
A1001007,Dressing for one wound,Dressing for one wound
A2001007,Dressing for two wounds,Dressing for two wounds
A3001007,Dressing for three wounds,Dressing for three wounds
A4001007,Dressing for four wounds,Dressing for four wounds
A5001007,Dressing for five wounds,Dressing for five wounds
A6001007,Dressing for six wounds,Dressing for six wounds
A7001007,Dressing for seven wounds,Dressing for seven wounds
A8001007,Dressing for eight wounds,Dressing for eight wounds
A9001007,Dressing for nine or more wounds,Dressing for 9 or more wound
AA001007,Anesthesia services performed personally by anesthesiologist,Anesthesia perf by anesgst
AB001007,Audiology service furnished personally by an audiologist without a,Aud svs w/o order evry 12mo
AD001007,Medical supervision by a physician: more than four concurrent anesthesia,"Md supervision, >4 anes proc"
AE001007,Registered dietician,Registered dietician
AF001007,Specialty physician,Specialty physician
AG001007,Primary physician,Primary physician
AH001007,Clinical psychologist,Clinical psychologist
AI001007,Principal physician of record,Principal physician of rec
AJ001007,Clinical social worker,Clinical social worker
AK001007,Non participating physician,Non participating physician
AM001007,"Physician, team member service","Physician, team member svc"
AO001007,Alternate payment method declined by provider of service,Prov declined alt pmt method
AP001007,Determination of refractive state was not performed in the course of diagnostic,No dtmn of refractive state
AQ001007,Physician providing a service in an unlisted health professional shortage area,Physician service hpsa area
AR001007,Physician provider services in a physician scarcity area,Physician scarcity area
AS001007,"Physician assistant, nurse practitioner, or clinical nurse specialist services",Assistant at surgery service
AT001007,"Acute treatment (this modifier should be used when reporting service 98940,",Acute treatment
AU001007,"Item furnished in conjunction with a urological, ostomy, or tracheostomy supply","Uro, ostomy or trach item"
AV001007,"Item furnished in conjunction with a prosthetic device, prosthetic or orthotic",Item w prosthetic/orthotic
AW001007,Item furnished in conjunction with a surgical dressing,Item w a surgical dressing
AX001007,Item furnished in conjunction with dialysis services,Item w dialysis services
AY001007,Item or service furnished to an esrd patient that is not for the treatment of,Item/service not for esrd tx
AZ001007,Physician providing a service in a dental health professional shortage area for,Physician serv in dent hpsa
BA001007,Item furnished in conjunction with parenteral enteral nutrition (pen) services,Item w pen services
BL001007,Special acquisition of blood and blood products,Spec acquisition blood prods
BO001007,"Orally administered nutrition, not by feeding tube",Nutrition oral admin no tube
BP001007,The beneficiary has been informed of the purchase and rental options and has,Bene electd to purchase item
BR001007,The beneficiary has been informed of the purchase and rental options and has,Bene elected to rent item
