0,1,2,3
order_num,code,level,description
1,A00,0,Cholera                                                      Cholera
2,A000,1,"Cholera due to Vibrio cholerae 01, biovar cholerae           Cholera due to Vibrio cholerae 01, biovar cholerae"
3,A001,1,"Cholera due to Vibrio cholerae 01, biovar eltor              Cholera due to Vibrio cholerae 01, biovar eltor"
4,A009,1,"Cholera, unspecified                                         Cholera, unspecified"
5,A01,0,Typhoid and paratyphoid fevers                               Typhoid and paratyphoid fevers
6,A010,0,Typhoid fever                                                Typhoid fever
7,A0100,1,"Typhoid fever, unspecified                                   Typhoid fever, unspecified"
8,A0101,1,Typhoid meningitis                                           Typhoid meningitis
9,A0102,1,Typhoid fever with heart involvement                         Typhoid fever with heart involvement
10,A0103,1,Typhoid pneumonia                                            Typhoid pneumonia
11,A0104,1,Typhoid arthritis                                            Typhoid arthritis
12,A0105,1,Typhoid osteomyelitis                                        Typhoid osteomyelitis
13,A0109,1,Typhoid fever with other complications                       Typhoid fever with other complications
14,A011,1,Paratyphoid fever A                                          Paratyphoid fever A
15,A012,1,Paratyphoid fever B                                          Paratyphoid fever B
16,A013,1,Paratyphoid fever C                                          Paratyphoid fever C
17,A014,1,"Paratyphoid fever, unspecified                               Paratyphoid fever, unspecified"
18,A02,0,Other salmonella infections                                  Other salmonella infections
19,A020,1,Salmonella enteritis                                         Salmonella enteritis
20,A021,1,Salmonella sepsis                                            Salmonella sepsis
21,A022,0,Localized salmonella infections                              Localized salmonella infections
22,A0220,1,"Localized salmonella infection, unspecified                  Localized salmonella infection, unspecified"
23,A0221,1,Salmonella meningitis                                        Salmonella meningitis
24,A0222,1,Salmonella pneumonia                                         Salmonella pneumonia
25,A0223,1,Salmonella arthritis                                         Salmonella arthritis
26,A0224,1,Salmonella osteomyelitis                                     Salmonella osteomyelitis
27,A0225,1,Salmonella pyelonephritis                                    Salmonella pyelonephritis
28,A0229,1,Salmonella with other localized infection                    Salmonella with other localized infection
29,A028,1,Other specified salmonella infections                        Other specified salmonella infections
30,A029,1,"Salmonella infection, unspecified                            Salmonella infection, unspecified"
31,A03,0,Shigellosis                                                  Shigellosis
32,A030,1,Shigellosis due to Shigella dysenteriae                      Shigellosis due to Shigella dysenteriae
33,A031,1,Shigellosis due to Shigella flexneri                         Shigellosis due to Shigella flexneri
34,A032,1,Shigellosis due to Shigella boydii                           Shigellosis due to Shigella boydii
35,A033,1,Shigellosis due to Shigella sonnei                           Shigellosis due to Shigella sonnei
36,A038,1,Other shigellosis                                            Other shigellosis
37,A039,1,"Shigellosis, unspecified                                     Shigellosis, unspecified"
38,A04,0,Other bacterial intestinal infections                        Other bacterial intestinal infections
39,A040,1,Enteropathogenic Escherichia coli infection                  Enteropathogenic Escherichia coli infection
40,A041,1,Enterotoxigenic Escherichia coli infection                   Enterotoxigenic Escherichia coli infection
41,A042,1,Enteroinvasive Escherichia coli infection                    Enteroinvasive Escherichia coli infection
42,A043,1,Enterohemorrhagic Escherichia coli infection                 Enterohemorrhagic Escherichia coli infection
43,A044,1,Other intestinal Escherichia coli infections                 Other intestinal Escherichia coli infections
44,A045,1,Campylobacter enteritis                                      Campylobacter enteritis
45,A046,1,Enteritis due to Yersinia enterocolitica                     Enteritis due to Yersinia enterocolitica
46,A047,0,Enterocolitis due to Clostridium difficile                   Enterocolitis due to Clostridium difficile
47,A0471,1,"Enterocolitis due to Clostridium difficile, recurrent        Enterocolitis due to Clostridium difficile, recurrent"
48,A0472,1,"Enterocolitis d/t Clostridium difficile, not spcf as recur   Enterocolitis due to Clostridium difficile, not specified as recurrent"
49,A048,1,Other specified bacterial intestinal infections              Other specified bacterial intestinal infections
50,A049,1,"Bacterial intestinal infection, unspecified                  Bacterial intestinal infection, unspecified"
51,A05,0,"Oth bacterial foodborne intoxications, NEC                   Other bacterial foodborne intoxications, not elsewhere classified"
52,A050,1,Foodborne staphylococcal intoxication                        Foodborne staphylococcal intoxication
53,A051,1,Botulism food poisoning                                      Botulism food poisoning
54,A052,1,Foodborne Clostridium perfringens intoxication               Foodborne Clostridium perfringens [Clostridium welchii] intoxication
55,A053,1,Foodborne Vibrio parahaemolyticus intoxication               Foodborne Vibrio parahaemolyticus intoxication
56,A054,1,Foodborne Bacillus cereus intoxication                       Foodborne Bacillus cereus intoxication
57,A055,1,Foodborne Vibrio vulnificus intoxication                     Foodborne Vibrio vulnificus intoxication
58,A058,1,Other specified bacterial foodborne intoxications            Other specified bacterial foodborne intoxications
59,A059,1,"Bacterial foodborne intoxication, unspecified                Bacterial foodborne intoxication, unspecified"
60,A06,0,Amebiasis                                                    Amebiasis
61,A060,1,Acute amebic dysentery                                       Acute amebic dysentery
62,A061,1,Chronic intestinal amebiasis                                 Chronic intestinal amebiasis
63,A062,1,Amebic nondysenteric colitis                                 Amebic nondysenteric colitis
64,A063,1,Ameboma of intestine                                         Ameboma of intestine
65,A064,1,Amebic liver abscess                                         Amebic liver abscess
66,A065,1,Amebic lung abscess                                          Amebic lung abscess
67,A066,1,Amebic brain abscess                                         Amebic brain abscess
68,A067,1,Cutaneous amebiasis                                          Cutaneous amebiasis
69,A068,0,Amebic infection of other sites                              Amebic infection of other sites
70,A0681,1,Amebic cystitis                                              Amebic cystitis
71,A0682,1,Other amebic genitourinary infections                        Other amebic genitourinary infections
72,A0689,1,Other amebic infections                                      Other amebic infections
73,A069,1,"Amebiasis, unspecified                                       Amebiasis, unspecified"
74,A07,0,Other protozoal intestinal diseases                          Other protozoal intestinal diseases
75,A070,1,Balantidiasis                                                Balantidiasis
76,A071,1,Giardiasis [lambliasis]                                      Giardiasis [lambliasis]
77,A072,1,Cryptosporidiosis                                            Cryptosporidiosis
78,A073,1,Isosporiasis                                                 Isosporiasis
79,A074,1,Cyclosporiasis                                               Cyclosporiasis
80,A078,1,Other specified protozoal intestinal diseases                Other specified protozoal intestinal diseases
81,A079,1,"Protozoal intestinal disease, unspecified                    Protozoal intestinal disease, unspecified"
82,A08,0,Viral and other specified intestinal infections              Viral and other specified intestinal infections
83,A080,1,Rotaviral enteritis                                          Rotaviral enteritis
84,A081,0,Acute gastrent d/t Norwalk agent and oth small round viruses Acute gastroenteropathy due to Norwalk agent and other small round viruses
85,A0811,1,Acute gastroenteropathy due to Norwalk agent                 Acute gastroenteropathy due to Norwalk agent
86,A0819,1,Acute gastroenteropathy due to other small round viruses     Acute gastroenteropathy due to other small round viruses
87,A082,1,Adenoviral enteritis                                         Adenoviral enteritis
88,A083,0,Other viral enteritis                                        Other viral enteritis
89,A0831,1,Calicivirus enteritis                                        Calicivirus enteritis
90,A0832,1,Astrovirus enteritis                                         Astrovirus enteritis
91,A0839,1,Other viral enteritis                                        Other viral enteritis
92,A084,1,"Viral intestinal infection, unspecified                      Viral intestinal infection, unspecified"
93,A088,1,Other specified intestinal infections                        Other specified intestinal infections
94,A09,1,"Infectious gastroenteritis and colitis, unspecified          Infectious gastroenteritis and colitis, unspecified"
95,A15,0,Respiratory tuberculosis                                     Respiratory tuberculosis
96,A150,1,Tuberculosis of lung                                         Tuberculosis of lung
97,A154,1,Tuberculosis of intrathoracic lymph nodes                    Tuberculosis of intrathoracic lymph nodes
98,A155,1,"Tuberculosis of larynx, trachea and bronchus                 Tuberculosis of larynx, trachea and bronchus"
99,A156,1,Tuberculous pleurisy                                         Tuberculous pleurisy
100,A157,1,Primary respiratory tuberculosis                             Primary respiratory tuberculosis
101,A158,1,Other respiratory tuberculosis                               Other respiratory tuberculosis
102,A159,1,Respiratory tuberculosis unspecified                         Respiratory tuberculosis unspecified
103,A17,0,Tuberculosis of nervous system                               Tuberculosis of nervous system
104,A170,1,Tuberculous meningitis                                       Tuberculous meningitis
105,A171,1,Meningeal tuberculoma                                        Meningeal tuberculoma
106,A178,0,Other tuberculosis of nervous system                         Other tuberculosis of nervous system
107,A1781,1,Tuberculoma of brain and spinal cord                         Tuberculoma of brain and spinal cord
108,A1782,1,Tuberculous meningoencephalitis                              Tuberculous meningoencephalitis
109,A1783,1,Tuberculous neuritis                                         Tuberculous neuritis
110,A1789,1,Other tuberculosis of nervous system                         Other tuberculosis of nervous system
111,A179,1,"Tuberculosis of nervous system, unspecified                  Tuberculosis of nervous system, unspecified"
112,A18,0,Tuberculosis of other organs                                 Tuberculosis of other organs
113,A180,0,Tuberculosis of bones and joints                             Tuberculosis of bones and joints
114,A1801,1,Tuberculosis of spine                                        Tuberculosis of spine
115,A1802,1,Tuberculous arthritis of other joints                        Tuberculous arthritis of other joints
116,A1803,1,Tuberculosis of other bones                                  Tuberculosis of other bones
117,A1809,1,Other musculoskeletal tuberculosis                           Other musculoskeletal tuberculosis
118,A181,0,Tuberculosis of genitourinary system                         Tuberculosis of genitourinary system
119,A1810,1,"Tuberculosis of genitourinary system, unspecified            Tuberculosis of genitourinary system, unspecified"
120,A1811,1,Tuberculosis of kidney and ureter                            Tuberculosis of kidney and ureter
121,A1812,1,Tuberculosis of bladder                                      Tuberculosis of bladder
122,A1813,1,Tuberculosis of other urinary organs                         Tuberculosis of other urinary organs
123,A1814,1,Tuberculosis of prostate                                     Tuberculosis of prostate
124,A1815,1,Tuberculosis of other male genital organs                    Tuberculosis of other male genital organs
125,A1816,1,Tuberculosis of cervix                                       Tuberculosis of cervix
126,A1817,1,Tuberculous female pelvic inflammatory disease               Tuberculous female pelvic inflammatory disease
127,A1818,1,Tuberculosis of other female genital organs                  Tuberculosis of other female genital organs
128,A182,1,Tuberculous peripheral lymphadenopathy                       Tuberculous peripheral lymphadenopathy
129,A183,0,"Tuberculosis of intestines, peritoneum and mesenteric glands Tuberculosis of intestines, peritoneum and mesenteric glands"
130,A1831,1,Tuberculous peritonitis                                      Tuberculous peritonitis
131,A1832,1,Tuberculous enteritis                                        Tuberculous enteritis
132,A1839,1,Retroperitoneal tuberculosis                                 Retroperitoneal tuberculosis
133,A184,1,Tuberculosis of skin and subcutaneous tissue                 Tuberculosis of skin and subcutaneous tissue
134,A185,0,Tuberculosis of eye                                          Tuberculosis of eye
135,A1850,1,"Tuberculosis of eye, unspecified                             Tuberculosis of eye, unspecified"
136,A1851,1,Tuberculous episcleritis                                     Tuberculous episcleritis
137,A1852,1,Tuberculous keratitis                                        Tuberculous keratitis
138,A1853,1,Tuberculous chorioretinitis                                  Tuberculous chorioretinitis
139,A1854,1,Tuberculous iridocyclitis                                    Tuberculous iridocyclitis
140,A1859,1,Other tuberculosis of eye                                    Other tuberculosis of eye
141,A186,1,Tuberculosis of (inner) (middle) ear                         Tuberculosis of (inner) (middle) ear
142,A187,1,Tuberculosis of adrenal glands                               Tuberculosis of adrenal glands
143,A188,0,Tuberculosis of other specified organs                       Tuberculosis of other specified organs
144,A1881,1,Tuberculosis of thyroid gland                                Tuberculosis of thyroid gland
145,A1882,1,Tuberculosis of other endocrine glands                       Tuberculosis of other endocrine glands
146,A1883,1,"Tuberculosis of digestive tract organs, NEC                  Tuberculosis of digestive tract organs, not elsewhere classified"
147,A1884,1,Tuberculosis of heart                                        Tuberculosis of heart
148,A1885,1,Tuberculosis of spleen                                       Tuberculosis of spleen
149,A1889,1,Tuberculosis of other sites                                  Tuberculosis of other sites
150,A19,0,Miliary tuberculosis                                         Miliary tuberculosis
151,A190,1,Acute miliary tuberculosis of a single specified site        Acute miliary tuberculosis of a single specified site
152,A191,1,Acute miliary tuberculosis of multiple sites                 Acute miliary tuberculosis of multiple sites
153,A192,1,"Acute miliary tuberculosis, unspecified                      Acute miliary tuberculosis, unspecified"
154,A198,1,Other miliary tuberculosis                                   Other miliary tuberculosis
155,A199,1,"Miliary tuberculosis, unspecified                            Miliary tuberculosis, unspecified"
156,A20,0,Plague                                                       Plague
157,A200,1,Bubonic plague                                               Bubonic plague
158,A201,1,Cellulocutaneous plague                                      Cellulocutaneous plague
159,A202,1,Pneumonic plague                                             Pneumonic plague
160,A203,1,Plague meningitis                                            Plague meningitis
161,A207,1,Septicemic plague                                            Septicemic plague
162,A208,1,Other forms of plague                                        Other forms of plague
163,A209,1,"Plague, unspecified                                          Plague, unspecified"
164,A21,0,Tularemia                                                    Tularemia
165,A210,1,Ulceroglandular tularemia                                    Ulceroglandular tularemia
166,A211,1,Oculoglandular tularemia                                     Oculoglandular tularemia
167,A212,1,Pulmonary tularemia                                          Pulmonary tularemia
