icd10_code,parent_title,definition
A00,Cholera,
A000,Cholera,
A001,Cholera,
A009,Cholera,
A01,Typhoid and paratyphoid fevers,
A010,Typhoid and paratyphoid fevers,
A011,Typhoid and paratyphoid fevers,
A012,Typhoid and paratyphoid fevers,
A013,Typhoid and paratyphoid fevers,
A014,Typhoid and paratyphoid fevers,
A02,Other salmonella infections,
A020,Other salmonella infections,
A021,Other salmonella infections,
A022,Other salmonella infections,
A028,Other salmonella infections,
A029,Other salmonella infections,
A03,Shigellosis,
A030,Shigellosis,
A031,Shigellosis,
A032,Shigellosis,
A033,Shigellosis,
A038,Shigellosis,
A039,Shigellosis,
A04,Other bacterial intestinal infections,
A040,Other bacterial intestinal infections,
A041,Other bacterial intestinal infections,
A042,Other bacterial intestinal infections,
A043,Other bacterial intestinal infections,
A044,Other bacterial intestinal infections,
A045,Other bacterial intestinal infections,
A046,Other bacterial intestinal infections,
A047,Other bacterial intestinal infections,
A048,Other bacterial intestinal infections,
A049,Other bacterial intestinal infections,
A05,"Other bacterial foodborne intoxications, not elsewhere classified",
A050,"Other bacterial foodborne intoxications, not elsewhere classified",
A051,"Other bacterial foodborne intoxications, not elsewhere classified",
A052,"Other bacterial foodborne intoxications, not elsewhere classified",
A053,"Other bacterial foodborne intoxications, not elsewhere classified",
A054,"Other bacterial foodborne intoxications, not elsewhere classified",
A058,"Other bacterial foodborne intoxications, not elsewhere classified",
A059,"Other bacterial foodborne intoxications, not elsewhere classified",
A06,Amoebiasis,
A060,Amoebiasis,
A061,Amoebiasis,
A062,Amoebiasis,
A063,Amoebiasis,
A064,Amoebiasis,
A065,Amoebiasis,
A066,Amoebiasis,
A067,Amoebiasis,
A068,Amoebiasis,
A069,Amoebiasis,
A07,Other protozoal intestinal diseases,
A070,Other protozoal intestinal diseases,
A071,Other protozoal intestinal diseases,
A072,Other protozoal intestinal diseases,
A073,Other protozoal intestinal diseases,
A078,Other protozoal intestinal diseases,
A079,Other protozoal intestinal diseases,
A08,Viral and other specified intestinal infections,
A080,Viral and other specified intestinal infections,
A081,Viral and other specified intestinal infections,
A082,Viral and other specified intestinal infections,
A083,Viral and other specified intestinal infections,
A084,Viral and other specified intestinal infections,
A085,Viral and other specified intestinal infections,
A09,Other gastroenteritis and colitis of infectious and unspecified origin,
A090,Other gastroenteritis and colitis of infectious and unspecified origin,
A099,Other gastroenteritis and colitis of infectious and unspecified origin,
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",
A150,"Respiratory tuberculosis, bacteriologically and histologically confirmed",
A151,"Respiratory tuberculosis, bacteriologically and histologically confirmed",
A152,"Respiratory tuberculosis, bacteriologically and histologically confirmed",
A153,"Respiratory tuberculosis, bacteriologically and histologically confirmed",
A154,"Respiratory tuberculosis, bacteriologically and histologically confirmed",
A155,"Respiratory tuberculosis, bacteriologically and histologically confirmed",
A156,"Respiratory tuberculosis, bacteriologically and histologically confirmed",
A157,"Respiratory tuberculosis, bacteriologically and histologically confirmed",
A158,"Respiratory tuberculosis, bacteriologically and histologically confirmed",
A159,"Respiratory tuberculosis, bacteriologically and histologically confirmed",
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",
A160,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",
A161,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",
A162,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",
A163,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",
A164,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",
A165,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",
A167,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",
A168,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",
A169,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",
A17,Tuberculosis of nervous system,
A170,Tuberculosis of nervous system,
A171,Tuberculosis of nervous system,
A178,Tuberculosis of nervous system,
A179,Tuberculosis of nervous system,
A18,Tuberculosis of other organs,
A180,Tuberculosis of other organs,
A181,Tuberculosis of other organs,
A182,Tuberculosis of other organs,
A183,Tuberculosis of other organs,
A184,Tuberculosis of other organs,
A185,Tuberculosis of other organs,
A186,Tuberculosis of other organs,
A187,Tuberculosis of other organs,
A188,Tuberculosis of other organs,
A19,Miliary tuberculosis,
A190,Miliary tuberculosis,
A191,Miliary tuberculosis,
A192,Miliary tuberculosis,
A198,Miliary tuberculosis,
A199,Miliary tuberculosis,
A20,Plague,
A200,Plague,
A201,Plague,
A202,Plague,
A203,Plague,
A207,Plague,
A208,Plague,
A209,Plague,
A21,Tularaemia,
A210,Tularaemia,
A211,Tularaemia,
A212,Tularaemia,
A213,Tularaemia,
A217,Tularaemia,
A218,Tularaemia,
A219,Tularaemia,
A22,Anthrax,
A220,Anthrax,
A221,Anthrax,
A222,Anthrax,
A227,Anthrax,
A228,Anthrax,
A229,Anthrax,
A23,Brucellosis,
A230,Brucellosis,
A231,Brucellosis,
A232,Brucellosis,
A233,Brucellosis,
A238,Brucellosis,
A239,Brucellosis,
A24,Glanders and melioidosis,
A240,Glanders and melioidosis,
A241,Glanders and melioidosis,
A242,Glanders and melioidosis,
A243,Glanders and melioidosis,
A244,Glanders and melioidosis,
A25,Rat-bite fevers,
A250,Rat-bite fevers,
A251,Rat-bite fevers,
A259,Rat-bite fevers,
A26,Erysipeloid,
A260,Erysipeloid,
A267,Erysipeloid,
A268,Erysipeloid,
A269,Erysipeloid,
A27,Leptospirosis,
A270,Leptospirosis,
A278,Leptospirosis,
A279,Leptospirosis,
A28,"Other zoonotic bacterial diseases, not elsewhere classified",
A280,"Other zoonotic bacterial diseases, not elsewhere classified",
A281,"Other zoonotic bacterial diseases, not elsewhere classified",
A282,"Other zoonotic bacterial diseases, not elsewhere classified",
A288,"Other zoonotic bacterial diseases, not elsewhere classified",
A289,"Other zoonotic bacterial diseases, not elsewhere classified",
A30,Leprosy [Hansen disease],
A300,Leprosy [Hansen disease],
A301,Leprosy [Hansen disease],
A302,Leprosy [Hansen disease],
A303,Leprosy [Hansen disease],
A304,Leprosy [Hansen disease],
A305,Leprosy [Hansen disease],
A308,Leprosy [Hansen disease],
A309,Leprosy [Hansen disease],
A31,Infection due to other mycobacteria,
A310,Infection due to other mycobacteria,
A311,Infection due to other mycobacteria,
A318,Infection due to other mycobacteria,
A319,Infection due to other mycobacteria,
A32,Listeriosis,
A320,Listeriosis,
A321,Listeriosis,
A327,Listeriosis,
A328,Listeriosis,
A329,Listeriosis,
A33,Tetanus neonatorum,
A34,Obstetrical tetanus,
A35,Other tetanus,
A36,Diphtheria,
A360,Diphtheria,
A361,Diphtheria,
A362,Diphtheria,
A363,Diphtheria,
A368,Diphtheria,
A369,Diphtheria,
A37,Whooping cough,
A370,Whooping cough,
A371,Whooping cough,
A378,Whooping cough,
A379,Whooping cough,
A38,Scarlet fever,
A39,Meningococcal infection,
A390,Meningococcal infection,
A391,Meningococcal infection,
A392,Meningococcal infection,
A393,Meningococcal infection,
A394,Meningococcal infection,
A395,Meningococcal infection,
A398,Meningococcal infection,
A399,Meningococcal infection,
A40,Streptococcal sepsis,
A400,Streptococcal sepsis,
A401,Streptococcal sepsis,
A402,Streptococcal sepsis,
A403,Streptococcal sepsis,
A408,Streptococcal sepsis,
A409,Streptococcal sepsis,
A41,Other sepsis,
A410,Other sepsis,
A411,Other sepsis,
A412,Other sepsis,
A413,Other sepsis,
A414,Other sepsis,
A415,Other sepsis,
A418,Other sepsis,
A419,Other sepsis,
A42,Actinomycosis,
A420,Actinomycosis,
A421,Actinomycosis,
A422,Actinomycosis,
A427,Actinomycosis,
A428,Actinomycosis,
A429,Actinomycosis,
A43,Nocardiosis,
A430,Nocardiosis,
A431,Nocardiosis,
A438,Nocardiosis,
A439,Nocardiosis,
A44,Bartonellosis,
A440,Bartonellosis,
A441,Bartonellosis,
A448,Bartonellosis,
A449,Bartonellosis,
A46,Erysipelas,
A48,"Other bacterial diseases, not elsewhere classified",
A480,"Other bacterial diseases, not elsewhere classified",
A481,"Other bacterial diseases, not elsewhere classified",
A482,"Other bacterial diseases, not elsewhere classified",
A483,"Other bacterial diseases, not elsewhere classified",
A484,"Other bacterial diseases, not elsewhere classified",
A488,"Other bacterial diseases, not elsewhere classified",
A49,Bacterial infection of unspecified site,
A490,Bacterial infection of unspecified site,
A491,Bacterial infection of unspecified site,
A492,Bacterial infection of unspecified site,
A493,Bacterial infection of unspecified site,
A498,Bacterial infection of unspecified site,
A499,Bacterial infection of unspecified site,
A50,Congenital syphilis,
A500,Congenital syphilis,
A501,Congenital syphilis,
A502,Congenital syphilis,
A503,Congenital syphilis,
A504,Congenital syphilis,
A505,Congenital syphilis,
A506,Congenital syphilis,
A507,Congenital syphilis,
A509,Congenital syphilis,
A51,Early syphilis,
A510,Early syphilis,
A511,Early syphilis,
A512,Early syphilis,
A513,Early syphilis,
A514,Early syphilis,
A515,Early syphilis,
A519,Early syphilis,
A52,Late syphilis,
A520,Late syphilis,
A521,Late syphilis,
A522,Late syphilis,
A523,Late syphilis,
A527,Late syphilis,
A528,Late syphilis,
A529,Late syphilis,
A53,Other and unspecified syphilis,
A530,Other and unspecified syphilis,
A539,Other and unspecified syphilis,
A54,Gonococcal infection,
A540,Gonococcal infection,
A541,Gonococcal infection,
A542,Gonococcal infection,
A543,Gonococcal infection,
A544,Gonococcal infection,
A545,Gonococcal infection,
A546,Gonococcal infection,
A548,Gonococcal infection,
A549,Gonococcal infection,
A55,Chlamydial lymphogranuloma (venereum),
A56,Other sexually transmitted chlamydial diseases,
A560,Other sexually transmitted chlamydial diseases,
A561,Other sexually transmitted chlamydial diseases,
A562,Other sexually transmitted chlamydial diseases,
A563,Other sexually transmitted chlamydial diseases,
A564,Other sexually transmitted chlamydial diseases,
A568,Other sexually transmitted chlamydial diseases,
A57,Chancroid,
A58,Granuloma inguinale,
A59,Trichomoniasis,
A590,Trichomoniasis,
A598,Trichomoniasis,
A599,Trichomoniasis,
A60,Anogenital herpesviral [herpes simplex] infection,
A600,Anogenital herpesviral [herpes simplex] infection,
A601,Anogenital herpesviral [herpes simplex] infection,
A609,Anogenital herpesviral [herpes simplex] infection,
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",
A630,"Other predominantly sexually transmitted diseases, not elsewhere classified",
A638,"Other predominantly sexually transmitted diseases, not elsewhere classified",
A64,Unspecified sexually transmitted disease,
A65,Nonvenereal syphilis,
A66,Yaws,
A660,Yaws,
A661,Yaws,
A662,Yaws,
A663,Yaws,
A664,Yaws,
A665,Yaws,
A666,Yaws,
A667,Yaws,
A668,Yaws,
A669,Yaws,
A67,Pinta [carate],
A670,Pinta [carate],
A671,Pinta [carate],
A672,Pinta [carate],
A673,Pinta [carate],
A679,Pinta [carate],
A68,Relapsing fevers,
A680,Relapsing fevers,
A681,Relapsing fevers,
A689,Relapsing fevers,
A69,Other spirochaetal infections,
A690,Other spirochaetal infections,
A691,Other spirochaetal infections,
A692,Other spirochaetal infections,
A698,Other spirochaetal infections,
A699,Other spirochaetal infections,
A70,Chlamydia psittaci infection,
A71,Trachoma,
A710,Trachoma,
A711,Trachoma,
A719,Trachoma,
A74,Other diseases caused by chlamydiae,
A740,Other diseases caused by chlamydiae,
A748,Other diseases caused by chlamydiae,
A749,Other diseases caused by chlamydiae,
A75,Typhus fever,
A750,Typhus fever,
A751,Typhus fever,
A752,Typhus fever,
A753,Typhus fever,
A759,Typhus fever,
A77,Spotted fever [tick-borne rickettsioses],
A770,Spotted fever [tick-borne rickettsioses],
A771,Spotted fever [tick-borne rickettsioses],
A772,Spotted fever [tick-borne rickettsioses],
A773,Spotted fever [tick-borne rickettsioses],
A778,Spotted fever [tick-borne rickettsioses],
A779,Spotted fever [tick-borne rickettsioses],
A78,Q fever,
A79,Other rickettsioses,
A790,Other rickettsioses,
A791,Other rickettsioses,
A798,Other rickettsioses,
A799,Other rickettsioses,
A80,Acute poliomyelitis,
A800,Acute poliomyelitis,
A801,Acute poliomyelitis,
A802,Acute poliomyelitis,
A803,Acute poliomyelitis,
A804,Acute poliomyelitis,
A809,Acute poliomyelitis,
A81,Atypical virus infections of central nervous system,
A810,Atypical virus infections of central nervous system,
A811,Atypical virus infections of central nervous system,
A812,Atypical virus infections of central nervous system,
A818,Atypical virus infections of central nervous system,
A819,Atypical virus infections of central nervous system,
A82,Rabies,
A820,Rabies,
A821,Rabies,
A829,Rabies,
A83,Mosquito-borne viral encephalitis,
A830,Mosquito-borne viral encephalitis,
A831,Mosquito-borne viral encephalitis,
A832,Mosquito-borne viral encephalitis,
A833,Mosquito-borne viral encephalitis,
A834,Mosquito-borne viral encephalitis,
A835,Mosquito-borne viral encephalitis,
A836,Mosquito-borne viral encephalitis,
A838,Mosquito-borne viral encephalitis,
A839,Mosquito-borne viral encephalitis,
A84,Tick-borne viral encephalitis,
A840,Tick-borne viral encephalitis,
A841,Tick-borne viral encephalitis,
A848,Tick-borne viral encephalitis,
A849,Tick-borne viral encephalitis,
A85,"Other viral encephalitis, not elsewhere classified",
A850,"Other viral encephalitis, not elsewhere classified",
A851,"Other viral encephalitis, not elsewhere classified",
A852,"Other viral encephalitis, not elsewhere classified",
A858,"Other viral encephalitis, not elsewhere classified",
A86,Unspecified viral encephalitis,
A87,Viral meningitis,
A870,Viral meningitis,
A871,Viral meningitis,
A872,Viral meningitis,
A878,Viral meningitis,
A879,Viral meningitis,
A88,"Other viral infections of central nervous system, not elsewhere classified",
A880,"Other viral infections of central nervous system, not elsewhere classified",
A881,"Other viral infections of central nervous system, not elsewhere classified",
A888,"Other viral infections of central nervous system, not elsewhere classified",
A89,Unspecified viral infection of central nervous system,
A92,Other mosquito-borne viral fevers,
A920,Other mosquito-borne viral fevers,
A921,Other mosquito-borne viral fevers,
A922,Other mosquito-borne viral fevers,
A923,Other mosquito-borne viral fevers,
A924,Other mosquito-borne viral fevers,
A925,Other mosquito-borne viral fevers,
A928,Other mosquito-borne viral fevers,
A929,Other mosquito-borne viral fevers,
A93,"Other arthropod-borne viral fevers, not elsewhere classified",
A930,"Other arthropod-borne viral fevers, not elsewhere classified",
A931,"Other arthropod-borne viral fevers, not elsewhere classified",
A932,"Other arthropod-borne viral fevers, not elsewhere classified",
A938,"Other arthropod-borne viral fevers, not elsewhere classified",
A94,Unspecified arthropod-borne viral fever,
A95,Yellow fever,
A950,Yellow fever,
A951,Yellow fever,
A959,Yellow fever,
A96,Arenaviral haemorrhagic fever,
A960,Arenaviral haemorrhagic fever,
A961,Arenaviral haemorrhagic fever,
A962,Arenaviral haemorrhagic fever,
A968,Arenaviral haemorrhagic fever,
A969,Arenaviral haemorrhagic fever,
A97,Dengue,
A970,Dengue,
A971,Dengue,
A972,Dengue,
A979,Dengue,
A98,"Other viral haemorrhagic fevers, not elsewhere classified",
A980,"Other viral haemorrhagic fevers, not elsewhere classified",
A981,"Other viral haemorrhagic fevers, not elsewhere classified",
A982,"Other viral haemorrhagic fevers, not elsewhere classified",
A983,"Other viral haemorrhagic fevers, not elsewhere classified",
A984,"Other viral haemorrhagic fevers, not elsewhere classified",
A985,"Other viral haemorrhagic fevers, not elsewhere classified",
A988,"Other viral haemorrhagic fevers, not elsewhere classified",
A99,Unspecified viral haemorrhagic fever,
B00,Herpesviral [herpes simplex] infections,
B000,Herpesviral [herpes simplex] infections,
B001,Herpesviral [herpes simplex] infections,
B002,Herpesviral [herpes simplex] infections,
B003,Herpesviral [herpes simplex] infections,
B004,Herpesviral [herpes simplex] infections,
B005,Herpesviral [herpes simplex] infections,
B007,Herpesviral [herpes simplex] infections,
B008,Herpesviral [herpes simplex] infections,
B009,Herpesviral [herpes simplex] infections,
B01,Varicella [chickenpox],
B010,Varicella [chickenpox],
B011,Varicella [chickenpox],
B012,Varicella [chickenpox],
B018,Varicella [chickenpox],
B019,Varicella [chickenpox],
B02,Zoster [herpes zoster],
B020,Zoster [herpes zoster],
B021,Zoster [herpes zoster],
B022,Zoster [herpes zoster],
B023,Zoster [herpes zoster],
B027,Zoster [herpes zoster],
B028,Zoster [herpes zoster],
B029,Zoster [herpes zoster],
B03,Smallpox,
B04,Monkeypox,
B05,Measles,
B050,Measles,
B051,Measles,
B052,Measles,
B053,Measles,
B054,Measles,
B058,Measles,
B059,Measles,
B06,Rubella [German measles],
B060,Rubella [German measles],
B068,Rubella [German measles],
B069,Rubella [German measles],
B07,Viral warts,
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",
B080,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",
B081,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",
B082,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",
B083,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",
B084,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",
B085,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",
B088,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,
B15,Acute hepatitis A,
B150,Acute hepatitis A,
B159,Acute hepatitis A,
B16,Acute hepatitis B,
B160,Acute hepatitis B,
B161,Acute hepatitis B,
B162,Acute hepatitis B,
B169,Acute hepatitis B,
B17,Other acute viral hepatitis,
B170,Other acute viral hepatitis,
B171,Other acute viral hepatitis,
B172,Other acute viral hepatitis,
B178,Other acute viral hepatitis,
B179,Other acute viral hepatitis,
B18,Chronic viral hepatitis,
B180,Chronic viral hepatitis,
B1800,Chronic viral hepatitis,immune-tolerant phase
B1809,Chronic viral hepatitis,other and unspecified phase
B181,Chronic viral hepatitis,
B1810,Chronic viral hepatitis,immune-tolerant phase
B1819,Chronic viral hepatitis,other and unspecified phase
B182,Chronic viral hepatitis,
B188,Chronic viral hepatitis,
B189,Chronic viral hepatitis,
B19,Unspecified viral hepatitis,
B190,Unspecified viral hepatitis,
B199,Unspecified viral hepatitis,
B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,
B200,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,
B201,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,
B202,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,
B203,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,
B204,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,
B205,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,
B206,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,
B207,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,
B208,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,
B209,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,
B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,
B210,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,
B211,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,
B212,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,
B213,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,
B217,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,
B218,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,
B219,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,
B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,
B220,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,
B221,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,
B222,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,
B227,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,
B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,
B230,Human immunodeficiency virus [HIV] disease resulting in other conditions,
B231,Human immunodeficiency virus [HIV] disease resulting in other conditions,
B232,Human immunodeficiency virus [HIV] disease resulting in other conditions,
B238,Human immunodeficiency virus [HIV] disease resulting in other conditions,
B24,Unspecified human immunodeficiency virus [HIV] disease,
B25,Cytomegaloviral disease,
B250,Cytomegaloviral disease,
B251,Cytomegaloviral disease,
B252,Cytomegaloviral disease,
B258,Cytomegaloviral disease,
B259,Cytomegaloviral disease,
