code,description,last_updated
100000-9,Health informatics pioneer and the father of LOINC,2.74
100001-7,Health informatics pioneer and cofounder of LOINC,2.74
100002-5,Specimen care is maintained,2.72
100003-3,Team communication is maintained throughout care,2.72
100004-1,Demonstrates knowledge of the expected psychosocial responses to the procedure,2.72
100005-8,Demonstrates knowledge of nutritional management related to the procedure,2.72
100006-6,Demonstrates knowledge of medication management,2.72
100007-4,Demonstrates knowledge of pain management,2.72
10000-8,R wave duration in lead AVR,2.48
100008-2,Demonstrates knowledge of wound management,2.72
100009-0,Demonstrates knowledge of the procedure and expected results,2.72
100010-8,"No injury related to procedure equipment, medical supplies, or instrumentation",2.72
100011-6,No injury related to an electrical source,2.72
100012-4,Participates in decisions affecting the patient's plan of care,2.72
100013-2,Participates in the discharge process,2.72
100014-0,Psychosocial health is maintained at or improved from baseline,2.72
100015-7,No injury related to positioning due to care or procedure,2.72
10001-6,R wave duration in lead I,2.48
100016-5,No injury related to a laser source,2.72
100017-3,Perioperative nursing data set outcomes panel [PNDS],2.72
100018-1,Hospice care Note,2.72
100019-9,ALK gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,2.72
100020-7,GNA11 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,2.72
100021-5,GNAQ gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,2.72
100022-3,IDH1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,2.72
100023-1,IDH2 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,2.72
10002-4,R wave duration in lead II,2.48
100024-9,SETBP1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,2.72
100025-6,SRSF2 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,2.72
100026-4,MET gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,2.72
100027-2,SMAD4 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,2.72
100028-0,FBXW7 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,2.72
100029-8,Cancer related multigene analysis in Plasma cell-free DNA by Molecular genetics method,2.72
100030-6,Axis I: Temporal aspects score [Mainz Pain Staging System],2.72
100031-4,Axis II: Spatial aspects score [Mainz Pain Staging System],2.72
10003-2,R wave duration in lead III,2.48
100032-2,Axis III: Drug taking behavior score [Mainz Pain Staging System],2.72
100033-0,Axis IV: Utilization of the health care system score [Mainz Pain Staging System],2.72
100034-8,Provider of automated external defibrillator use,2.72
100035-5,Exam finding location of Chest,2.72
100036-3,Exam finding location of Lung,2.72
100037-1,Patient contact disposition EMS unit,2.72
100038-9,Patient evaluation disposition EMS unit,2.72
100039-7,Crew disposition for patient care EMS unit,2.72
10004-0,R wave duration in lead V1,2.48
100040-5,Patient transport disposition EMS unit,2.72
100041-3,Aminoglycoside [Susceptibility],2.72
100042-1,Atovaquone [Susceptibility],2.72
100043-9,Azithromycin+Ethambutol [Susceptibility],2.72
100044-7,Cefcapene [Susceptibility],2.72
100045-4,Cefozopran [Susceptibility],2.72
100046-2,Cefquinome [Susceptibility],2.72
100047-0,Cefteram [Susceptibility],2.72
